lower/hyst,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225
0,0.00302376,0.12954,0.178935,0.124242,0.142526,0.165426,0.168602,0.223636,0.268528,0.260925,0.2491,0.256654,0.368917,0.406735,0.394797
15,0.191489,0.208889,0.142784,0.2,0.220392,0.213456,0.240726,0.283544,0.272843,0.252264,0.278825,0.382497,0.418311,0.401852,0.408589
30,0.189664,0.22594,0.23407,0.215119,0.258612,0.2645,0.292875,0.288424,0.272431,0.323967,0.47191,0.504931,0.486594,0.476784,0.474823
45,0.236849,0.257506,0.275031,0.303498,0.382242,0.399781,0.390759,0.386845,0.400869,0.485801,0.491365,0.486058,0.476721,0.473394,0.461443
60,0.392777,0.429487,0.410932,0.465145,0.445493,0.441015,0.45977,0.471741,0.475311,0.464489,0.458228,0.436695,0.433225,0.428139,0.421763
75,0.496627,0.481526,0.47418,0.472505,0.44609,0.438942,0.459006,0.46577,0.447992,0.441233,0.435979,0.441702,0.442173,0.425514,0.416812
90,0.475025,0.467971,0.47541,0.470321,0.458429,0.452321,0.453207,0.43194,0.431183,0.413816,0.415807,0.39933,0.399554,0.392144,0.389888
105,0.440799,0.442661,0.446885,0.438978,0.441702,0.442161,0.414693,0.40596,0.394855,0.388262,0.362168,0.36185,0.350992,0.343934,0.333095
120,0.445154,0.424675,0.420022,0.391518,0.391955,0.380317,0.372727,0.355145,0.358939,0.327639,0.323775,0.289163,0.291422,0.284511,0.269018
135,0.394684,0.392707,0.383017,0.387865,0.369266,0.353542,0.319521,0.32,0.294233,0.282716,0.256384,0.259446,0.249235,0.22199,0.200533
150,0.374487,0.373288,0.355374,0.342521,0.31432,0.269347,0.271608,0.247826,0.240308,0.217277,0.227237,0.221232,0.19759,0.16469,0.144944
165,0.315534,0.298155,0.273342,0.267839,0.235264,0.228052,0.220681,0.219085,0.204491,0.195206,0.187838,0.165793,0.138787,0.128977,0.106512
180,0.245385,0.242471,0.21498,0.206085,0.191968,0.181055,0.177027,0.161149,0.149724,0.131638,0.0904832,0.080531,0.0768095,0.0606876,0.0568421
