Thresh, Prec., Rec., F1, ang. err., a. e. std., Time
250, -nan(ind), 0, -nan(ind), -nan(ind), -nan(ind), 84896.2
500, 0.898344, 0.423906, 0.576008, 0.982251, 0.655955, 81687.3
750, 0.869579, 0.839688, 0.854372, 1.01652, 0.67359, 80020.5
1000, 0.867925, 0.8625, 0.865204, 1.0187, 0.673075, 88129
1250, 0.851692, 0.865, 0.858295, 1.01935, 0.672371, 87239.9
1500, 0.794699, 0.866719, 0.829148, 1.02188, 0.682062, 75070.6
1750, 0.639055, 0.866719, 0.735676, 1.02188, 0.682062, 81929.4
2000, 0.552736, 0.867969, 0.67538, 1.02246, 0.681739, 85856.6
2250, 0.488137, 0.867969, 0.624859, 1.02246, 0.681739, 79230.3
2500, 0.443267, 0.869219, 0.587124, 1.02308, 0.681449, 87258.2
2750, 0.409331, 0.870469, 0.556822, 1.02551, 0.683953, 96481.1
3000, 0.387413, 0.870469, 0.536189, 1.02551, 0.683953, 91558.6
3250, 0.373893, 0.870469, 0.523099, 1.02551, 0.683953, 94455.3
3500, 0.365551, 0.870469, 0.51488, 1.02551, 0.683953, 112205
3750, 0.358087, 0.871719, 0.507643, 1.03335, 0.714086, 116846
4000, 0.349781, 0.871719, 0.499239, 1.03335, 0.714086, 102604
4250, 0.344383, 0.871719, 0.493717, 1.03335, 0.714086, 120074
4500, 0.338326, 0.871719, 0.487462, 1.03335, 0.714086, 112006
4750, 0.331295, 0.871719, 0.48012, 1.03335, 0.714086, 213408
5000, 0.321371, 0.871719, 0.469613, 1.03335, 0.714086, 266013
